Date, Close/Last, Volume, Open, High, Low
05/02/2019, $375.8, 2438759, $375.5, $377.65, $373.25
05/01/2019, $376.8, 2765572, $378.53, $381.1951, $376.38
04/30/2019, $377.69, 3268866, $379.5, $381.14, $375.05
04/29/2019, $379.05, 5450287, $378.49, $385.3, $376.76
04/26/2019, $380.79, 4235936, $383.89, $384, $378.14
04/25/2019, $382.8, 6607094, $376.01, $384.8, $372.76
04/24/2019, $375.46, 9842009, $377.89, $381.15, $373.66
04/23/2019, $374.02, 4866391, $375.54, $376.87, $372.61
04/22/2019, $375.17, 4139888, $375.69, $378.95, $374.9
04/18/2019, $380.07, 4644278, $377.52, $382.17, $377.52
04/17/2019, $377.52, 4195495, $384.1, $384.19, $377.4837
04/16/2019, $381.72, 7067068, $376.51, $384.64, $375.03
04/15/2019, $375.46, 3805356, $376.7, $377.9, $373.68
04/12/2019, $379.64, 7207696, $375.75, $379.95, $372
04/11/2019, $370.16, 6526032, $364.62, $371.08, $364.21
04/10/2019, $364.94, 8118173, $368.4, $368.79, $362.92
04/09/2019, $369.04, 7968918, $370.29, $372.24, $367.75
04/08/2019, $374.52, 14426690, $376.2, $379.8, $371.86
04/05/2019, $391.93, 6779065, $398.07, $398.66, $390.95
04/04/2019, $395.86, 9353815, $385.99, $397.06, $385.1
